id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21558373,casa particular in València · ★4.87 · 1 bedroom · 2 beds · 1 bath,156749458,Alexandra Y Ignacio,QUATRE CARRERES,MONT-OLIVET,39.45651,-0.36667,Entire home/apt,84,2,243,2023-08-27,3.40,4,154,40,VT-43199-V
21574372,Rental unit in Valencia / València · ★4.21 · 2 bedrooms · 3 beds · 1 bath,97229818,Travel Habitat,CIUTAT VELLA,LA XEREA,39.4727,-0.37141,Entire home/apt,195,1,19,2022-11-22,0.30,39,314,1,AT 41766 V
21613747,Rental unit in València · ★4.86 · 2 bedrooms · 2 beds · 2 baths,17881851,Harald,L'EIXAMPLE,RUSSAFA,39.4623,-0.37242,Entire home/apt,125,14,90,2023-09-02,1.27,4,251,19,22000/2018/28341
20708375,Rental unit in València · ★4.87 · 3 bedrooms · 5 beds · 1 bath,148242101,Jacqueline,CAMPANAR,LES TENDETES,39.48291,-0.38471,Entire home/apt,57,2,47,2020-01-01,0.64,1,0,0,
21630595,Rental unit in València · ★5.0 · 2 bedrooms · 3 beds · 1.5 baths,157381973,Jose Luis,CIUTAT VELLA,EL CARME,39.47597,-0.38346,Entire home/apt,173,3,240,2023-09-06,3.58,3,62,62,VT-43570-V
20721244,Rental unit in València · ★4.77 · 2 bedrooms · 2 beds · 1 bath,33806568,Rafa Y Jorge,CIUTAT VELLA,EL CARME,39.47979,-0.38048,Entire home/apt,120,5,131,2023-09-11,1.80,18,132,33,VT-43390-V
20722354,Rental unit in València · ★4.34 · 3 bedrooms · 4 beds · 1 bath,148211733,Inmaculada,POBLATS MARITIMS,EL GRAU,39.45917,-0.33518,Entire home/apt,118,1,352,2023-09-10,4.82,1,146,71,VT-41439-V
21638768,Loft in València · ★4.89 · 2 bedrooms · 2 beds · 1 bath,157465081,Stéphane,EXTRAMURS,EL BOTANIC,39.47844,-0.38487,Entire home/apt,90,2,171,2023-09-09,2.43,2,2,24,VT-41725-V
20735125,Condo in Valencia · ★4.56 · 1 bedroom · 1 bed · 1 shared bath,148492594,Marisol,PATRAIX,PATRAIX,39.46262,-0.39115,Private room,31,2,122,2023-09-10,1.91,2,68,34,
21644545,Rental unit in València · ★4.42 · 1 bedroom · 1 bed · 1 bath,106423765,Ramon,QUATRE CARRERES,LA PUNTA,39.4539732813354,-0.3455866493767475,Entire home/apt,96,28,81,2023-07-08,1.14,10,61,9,
20747965,Rental unit in València · ★4.44 · 3 bedrooms · 3 beds · 1 bath,148598821,Jorge,CAMINS AL GRAU,LA CREU DEL GRAU,39.46103,-0.34243,Entire home/apt,94,2,517,2023-08-31,7.09,1,42,73,
21646023,Rental unit in València · ★4.82 · 3 bedrooms · 3 beds · 1 bath,157536803,Jose,CAMINS AL GRAU,LA CREU DEL GRAU,39.46096,-0.33973,Entire home/apt,110,59,56,2023-04-04,0.79,2,20,15,
20764964,Home in València · ★4.80 · 1 bedroom · 1 bed · 1 bath,148750846,Enrique,CIUTAT VELLA,EL CARME,39.47864,-0.37675,Entire home/apt,87,3,77,2023-09-07,1.05,1,134,36,
21690558,Rental unit in València · ★4.87 · 2 bedrooms · 2 beds · 1 bath,16405625,Maria Jose,EXTRAMURS,EL BOTANIC,39.47823,-0.38439,Entire home/apt,120,5,31,2022-10-21,0.46,1,256,1,
20766921,Rental unit in Valencia · ★4.57 · 8 bedrooms · 3 beds · 1 bath,6660528,Олег,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47152,-0.33011,Entire home/apt,150,10,39,2021-09-13,0.61,1,44,0,VT-43896-V
21756844,Rental unit in València · 1 bedroom · 2 beds · 1 bath,4945920,Isabel,CAMINS AL GRAU,AIORA,39.4649,-0.3402,Entire home/apt,67,6,1,2023-08-15,0.91,4,146,1,
21766861,Rental unit in València · ★4.74 · 3 bedrooms · 3 beds · 1 bath,14182776,Alberto,LA SAIDIA,TRINITAT,39.48356,-0.37084,Entire home/apt,162,1,23,2023-02-22,0.35,34,144,1,EGVT-234-V
20781652,Rental unit in València · ★4.72 · 3 bedrooms · 5 beds · 2 baths,148936269,Clara,CAMPANAR,LES TENDETES,39.48048,-0.3856,Entire home/apt,98,20,139,2023-08-19,1.90,1,145,8,
21779292,Rental unit in València · ★4.80 · 1 bedroom · 2 beds · 1 shared bath,13674652,Victor,CAMINS AL GRAU,PENYA-ROJA,39.4649,-0.35733,Private room,225,2,5,2022-12-05,0.08,1,89,2,
20798196,Rental unit in València · ★4.57 · 3 bedrooms · 3 beds · 1 bath,21947439,Irena,CAMINS AL GRAU,PENYA-ROJA,39.46042,-0.34792,Entire home/apt,110,2,15,2022-11-14,0.23,1,0,5,VT-41699-V
21785229,Rental unit in València · ★4.78 · 3 bedrooms · 3 beds · 2 baths,112521012,Steven & Leonie,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46632,-0.33091,Entire home/apt,116,4,32,2023-09-08,0.50,2,188,8,VT-45107-V
21792273,Rental unit in València · ★4.32 · 3 bedrooms · 5 beds · 2.5 baths,153072572,Tangerine,LA SAIDIA,MORVEDRE,39.48363,-0.37555,Entire home/apt,120,3,42,2023-07-16,0.60,12,319,9,
20808638,Loft in València · ★4.77 · 1 bedroom · 1 bed · 1.5 baths,54449319,Maria,CIUTAT VELLA,EL CARME,39.48003,-0.37942,Entire home/apt,75,3,191,2023-09-13,2.62,5,270,9,Generalitat Valenciana VT-41910-V. Ayuntamiento de Valencia actividad terciario hotelero 001092017002227
21793574,Rental unit in València · 1 bedroom · 1 bed · 1 shared bath,122005739,Bea,BENICALAP,BENICALAP,39.49152,-0.39669,Private room,35,1,1,2018-02-22,0.01,1,0,0,
20822160,Loft in València · ★4.72 · 3 bedrooms · 5 beds · 1 bath,56942833,Jean François,CAMINS AL GRAU,AIORA,39.46332,-0.34246,Entire home/apt,130,3,88,2023-08-23,1.21,1,230,15,
21798337,Loft in València · ★4.96 · 1 bedroom · 1 bed · 1 bath,3823556,Carolina,L'EIXAMPLE,RUSSAFA,39.46224,-0.37176,Entire home/apt,300,2,90,2020-02-29,1.28,1,42,0,VT-42560-V
20831829,Rental unit in Valencia · ★4.74 · 4 bedrooms · 4 beds · 1 bath,8506278,Pepa,L'EIXAMPLE,RUSSAFA,39.45776,-0.37566,Entire home/apt,83,8,35,2023-09-04,0.48,1,249,7,VT-43050-V
21824519,Rental unit in Valencia / València · ★4.0 · Studio · 6 beds · 1 bath,83066665,SingularStays,QUATRE CARRERES,MONT-OLIVET,39.46054,-0.36692,Entire home/apt,93,1,7,2023-09-01,0.11,166,283,2,AT-42056-V
20845899,Loft in València · ★4.69 · 2 bedrooms · 1 bed · 1 bath,54449319,Maria,CIUTAT VELLA,EL CARME,39.47948,-0.3794,Entire home/apt,75,3,286,2023-09-05,3.93,5,244,49,Generalitat Valenciana VT-41910-V. Ayuntamiento de Valencia actividad terciario hotelero 001092017002227
20856476,Home in València · ★4.86 · 1 bedroom · 1 bed · 2.5 baths,60187479,Toni,EL PLA DEL REAL,MESTALLA,39.47531,-0.35277,Private room,22,30,7,2023-03-16,0.14,5,227,1,
21834884,Rental unit in València · ★4.95 · 3 bedrooms · 3 beds · 2 baths,159202113,Isabel,CIUTAT VELLA,EL PILAR,39.47185,-0.38144,Entire home/apt,184,2,190,2023-08-31,2.71,1,124,46,VT-43666-V
20869480,Rental unit in València · ★4.68 · 3 bedrooms · 5 beds · 2 baths,119676967,Yourplace,CIUTAT VELLA,LA SEU,39.47414,-0.3767,Entire home/apt,139,2,109,2022-03-06,1.49,3,0,0,
21857008,Rental unit in València · ★4.80 · 3 bedrooms · 5 beds · 1.5 baths,159426646,Valencia Apartment,ALGIROS,CIUTAT JARDI,39.46906,-0.34524,Entire home/apt,100,3,64,2023-08-04,0.92,1,231,17,VT-38156-V
20894254,Rental unit in València · ★4.46 · 2 bedrooms · 2 beds · 1 bath,12524685,David,EXTRAMURS,EL BOTANIC,39.47377,-0.38401,Entire home/apt,93,3,114,2023-08-18,1.60,12,139,29,VT-42072-V
21871269,Rental unit in València · ★4.91 · 1 bedroom · 1 bed · 1 bath,3037592,Andrey&Sasha,CIUTAT VELLA,EL CARME,39.4771,-0.38055,Entire home/apt,70,2,220,2023-08-31,3.13,2,110,54,VT-44580-V
20897775,Rental unit in València · ★4.68 · 2 bedrooms · 5 beds · 2 baths,119676967,Yourplace,CIUTAT VELLA,LA SEU,39.47407,-0.37664,Entire home/apt,121,2,122,2022-03-01,1.67,3,0,0,
21872748,Rental unit in València · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,29610078,Silvia,BENIMACLET,BENIMACLET,39.48739,-0.36604,Private room,17,30,3,2023-08-21,0.23,19,199,2,
22093017,Rental unit in València · ★3.33 · 3 bedrooms · 3 beds · 1 bath,140571271,Liam,BENIMACLET,BENIMACLET,39.48538,-0.35697,Entire home/apt,66,5,6,2021-08-17,0.09,4,0,0,
21877258,Condo in Valencia · ★4.06 · 2 bedrooms · 2 beds · 2 baths,151054600,Dulce,POBLATS DEL SUD,EL SALER,39.36045,-0.3207,Entire home/apt,78,2,16,2021-06-27,0.25,4,1,0,AT-33878-V
22093486,Rental unit in València · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,140571271,Liam,BENIMACLET,BENIMACLET,39.48535,-0.35648,Private room,34,3,124,2023-09-06,1.81,4,32,19,
22093727,Rental unit in València · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,140571271,Liam,BENIMACLET,BENIMACLET,39.48574,-0.35631,Private room,33,3,65,2022-09-26,0.94,4,0,4,
21936011,Rental unit in València · ★4.89 · 2 bedrooms · 2 beds · 1.5 baths,160049958,Jose,QUATRE CARRERES,EN CORTS,39.45913,-0.3703,Entire home/apt,78,4,45,2023-09-12,0.65,1,196,11,VT-43626-V
22093882,Rental unit in València · ★4.60 · 1 bedroom · 1 bed · 1 shared bath,140571271,Liam,BENIMACLET,BENIMACLET,39.48415,-0.3565,Private room,47,2,10,2022-05-15,0.15,4,0,0,
22116690,Rental unit in València · ★4.41 · 1 bedroom · 2 beds · 1 bath,1315486,Roy,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47086,-0.32979,Entire home/apt,86,1,41,2023-08-28,0.72,8,342,17,VT-45718-V
22117477,Condo in València · ★4.85 · 3 bedrooms · 3 beds · 2 baths,161554893,Javier,CAMPANAR,EL CALVARI,39.48775,-0.38866,Entire home/apt,59,28,53,2023-08-30,0.79,1,4,13,VT-45528-V
21940679,Rental unit in València · Studio · 2 beds · 2 baths,129530942,Amanda De Fatima,QUATRE CARRERES,LA PUNTA,39.45325,-0.34332,Entire home/apt,250,1,0,,,2,48,0,
22146196,Rental unit in València · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,73398034,Aida Lorena,CAMINS AL GRAU,AIORA,39.46488,-0.33974,Private room,30,1,37,2023-08-22,0.53,1,30,23,
22173521,Rental unit in València · ★4.38 · 3 bedrooms · 3 beds · 1 bath,4322082,Veronika,L'OLIVERETA,NOU MOLES,39.46969,-0.40292,Entire home/apt,84,4,151,2023-08-08,2.18,2,74,7,VT-46015V
22187984,Rental unit in València · ★4.73 · 3 bedrooms · 4 beds · 2 baths,119774380,Fernando,EL PLA DEL REAL,EXPOSICIO,39.47662,-0.363,Entire home/apt,90,3,49,2023-09-08,0.78,1,3,11,VT-44926-V
22201608,Rental unit in Valencia / València · ★5.0 · 2 bedrooms · 2 beds · 1 bath,123234023,Palacio De Rojas,CIUTAT VELLA,EL CARME,39.4763,-0.38085,Entire home/apt,271,1,4,2022-05-10,0.18,9,299,0,AT-34628-V
22201609,Rental unit in Valencia / València · ★4.60 · 2 bedrooms · 2 beds · 1 bath,123234023,Palacio De Rojas,CIUTAT VELLA,EL CARME,39.47629,-0.38117,Entire home/apt,271,1,10,2023-04-07,0.31,9,276,4,AT-39461-V
22201610,Rental unit in Valencia / València · 1 bedroom · 1 bed · 1.5 baths,123234023,Palacio De Rojas,CIUTAT VELLA,EL CARME,39.4763,-0.38085,Entire home/apt,199,1,1,2021-10-12,0.04,9,288,0,AT-34635-V
22201612,Rental unit in Valencia / València · 2 bedrooms · 3 beds · 2 baths,123234023,Palacio De Rojas,CIUTAT VELLA,EL CARME,39.4763,-0.38085,Entire home/apt,339,1,2,2022-07-07,0.09,9,287,0,AT-39459-V
22243476,Rental unit in València · ★4.77 · 1 bedroom · 1 bed · 1.5 baths,162535901,Tom,L'EIXAMPLE,RUSSAFA,39.4641,-0.37001,Entire home/apt,157,1,95,2023-07-02,1.38,1,307,27,VT-43693-V
22271993,Townhouse in València · ★4.69 · 2 bedrooms · 3 beds · 2 baths,162758888,Jose Luis,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47381,-0.32628,Entire home/apt,100,2,127,2023-09-12,1.83,1,18,35,
22301249,Rental unit in València · ★4.88 · 2 bedrooms · 3 beds · 1 bath,115497899,José Vicente,L'EIXAMPLE,RUSSAFA,39.46271,-0.36738,Entire home/apt,120,3,73,2023-08-13,1.08,2,49,15,VT-42239-V
22303828,Rental unit in València · ★4.67 · 3 bedrooms · 4 beds · 1 bath,22772079,Lusi,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46653,-0.33237,Entire home/apt,80,2,222,2023-08-11,3.32,2,130,50,
22307001,Rental unit in Valencia  · ★4.50 · 2 bedrooms · 4 beds · 1 bath,110513745,Maria,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47464,-0.33126,Entire home/apt,136,1,100,2023-08-16,1.44,1,341,17,VT-40127-V
21941390,Rental unit in València · ★4.96 · 1 bedroom · 2 beds · 1 bath,80681664,Rafa Y David (Brothers),CIUTAT VELLA,EL PILAR,39.47491,-0.3837,Entire home/apt,99,14,113,2021-04-02,1.63,1,80,0,VT-43655-V
21991136,Rental unit in València · ★4.88 · 3 bedrooms · 5 beds · 2 baths,160573791,Carmen,CAMINS AL GRAU,PENYA-ROJA,39.45596,-0.34483,Entire home/apt,169,3,137,2023-09-03,2.01,1,223,29,PGVT-3899-V
22311833,Loft in València · ★4.52 · 2 bedrooms · 3 beds · 1.5 baths,154806806,Jesus,CIUTAT VELLA,LA XEREA,39.47549,-0.37048,Entire home/apt,135,2,29,2023-03-20,0.42,1,86,5,VT446999V
22040614,Rental unit in València · ★4.98 · 2 bedrooms · 2 beds · 1 bath,7697345,Francisco,CIUTAT VELLA,EL PILAR,39.47198,-0.38209,Entire home/apt,173,4,48,2023-08-30,0.72,1,254,17,VT-46529-V
22042438,Rental unit in València · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,13657284,Natalia,ALGIROS,LA CARRASCA,39.47267,-0.33875,Private room,172,2,22,2023-07-02,0.36,4,177,8,
22315373,Condo in València · ★4.42 · 3 bedrooms · 3 beds · 1 bath,163139642,Miguel,QUATRE CARRERES,NA ROVELLA,39.45613,-0.36172,Entire home/apt,122,2,108,2023-07-11,1.55,3,38,42,
22043955,Rental unit in Valencia · ★4.81 · 3 bedrooms · 5 beds · 1 bath,61284117,Little Grasshopper,POBLATS MARITIMS,LA MALVA-ROSA,39.47561,-0.32928,Entire home/apt,86,1,27,2023-09-03,1.08,5,325,23,VT-45845-V
22046427,Rental unit in València · ★4.80 · 2 bedrooms · 4 beds · 1 bath,12044109,Invalencia Flats,CIUTAT VELLA,LA XEREA,39.47572,-0.37055,Entire home/apt,147,2,96,2023-08-03,1.38,28,264,22,AT-42270V
22331498,Condo in València · ★4.78 · 2 bedrooms · 3 beds · 1 bath,163272308,Salvador,CAMINS AL GRAU,PENYA-ROJA,39.46174,-0.35306,Entire home/apt,101,2,120,2023-08-06,1.72,1,103,12,VT-45399-V
22059946,Rental unit in València · ★4.80 · 3 bedrooms · 5 beds · 1 bath,81526760,Irene Y Juan,CAMINS AL GRAU,LA CREU DEL GRAU,39.46421,-0.34923,Entire home/apt,103,4,162,2023-08-27,2.39,1,36,25,VT-44045-V
22381909,Rental unit in València · ★4.85 · 1 bedroom · 1 bed · 1 bath,163674275,Amparo,CIUTAT VELLA,EL CARME,39.47903,-0.37932,Entire home/apt,111,2,242,2023-08-29,3.48,1,129,60,VT-43362-V
22063648,Rental unit in València · ★4.89 · 3 bedrooms · 4 beds · 2 baths,161161566,Nuria,L'EIXAMPLE,RUSSAFA,39.46312,-0.36973,Entire home/apt,517,1,58,2023-09-11,0.83,1,40,27,
22398828,Rental unit in València · ★4.73 · 2 bedrooms · 2 beds · 1 bath,163830615,Judith,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.4645,-0.3306,Entire home/apt,97,3,48,2023-08-15,0.69,2,66,5,VT-44165-V
22072331,Rental unit in València · ★4.62 · 3 bedrooms · 5 beds · 2 baths,3803554,Lineabad Sl,JESUS,LA CREU COBERTA,39.4502,-0.38409,Entire home/apt,46,1,39,2022-08-24,0.59,1,0,0,
22407628,Rental unit in València · ★4.80 · 1 bedroom · 1 bed · 1 bath,8909651,Eduardo,CIUTAT VELLA,EL MERCAT,39.47362,-0.3783,Entire home/apt,105,3,208,2023-09-02,2.99,2,58,49,
22409066,Home in Valencia · ★4.74 · 3 bedrooms · 4 beds · 2 baths,164034271,Pilar,POBLATS DEL NORD,CARPESA,39.51585,-0.37786,Entire home/apt,400,2,23,2021-11-07,0.34,1,67,0,VT-44477-V
23052952,Loft in València · ★4.84 · 1 bedroom · 2 beds · 1 bath,8185074,César,CIUTAT VELLA,EL CARME,39.47704,-0.38207,Entire home/apt,81,7,19,2019-10-29,0.28,3,11,0,VT-40636-V
23054727,Rental unit in Valencia · 1 bedroom · 1 bed · 1 bath,170698476,Bet,CIUTAT VELLA,EL CARME,39.47993,-0.38047,Entire home/apt,167,1,2,2021-07-28,0.06,37,242,0,VT-36471-V
23054742,Rental unit in Valencia · ★3.67 · 1 bedroom · 1 bed · 1 bath,170698476,Bet,CIUTAT VELLA,EL CARME,39.47996,-0.38037,Entire home/apt,152,1,3,2020-06-28,0.05,37,235,0,VT-36472-V
23054756,Rental unit in Valencia · ★5.0 · 1 bedroom · 1 bed · 1 bath,170698476,Bet,CIUTAT VELLA,EL CARME,39.47841,-0.38017,Entire home/apt,167,1,5,2023-03-18,0.11,37,244,2,VT-36473-V
23054757,Rental unit in Valencia · ★4.17 · 1 bedroom · 1 bed · 1 bath,170698476,Bet,CIUTAT VELLA,EL CARME,39.47847,-0.37869,Entire home/apt,152,1,6,2022-09-18,0.09,37,235,1,VT-36474-V
23054772,Rental unit in Valencia · ★4.33 · 1 bedroom · 1 bed · 1 bath,170698476,Bet,CIUTAT VELLA,EL CARME,39.48021,-0.38036,Entire home/apt,167,1,3,2022-12-08,0.14,37,244,2,VT-36475-V
23054786,Rental unit in Valencia · ★4.0 · 1 bedroom · 1 bed · 1 bath,170698476,Bet,CIUTAT VELLA,EL CARME,39.47811,-0.38018,Entire home/apt,152,1,4,2021-11-15,0.06,37,235,0,VT-36476-V
23054794,Rental unit in Valencia · ★4.33 · 1 bedroom · 1 bed · 1 bath,170698476,Bet,CIUTAT VELLA,EL CARME,39.48003,-0.37863,Entire home/apt,182,1,3,2022-02-28,0.05,37,233,0,
22429742,Rental unit in València · ★4.83 · 1 bedroom · 1 bed · 1 bath,164272455,Vic & Patri,CIUTAT VELLA,LA SEU,39.47609,-0.37375,Entire home/apt,153,2,246,2023-09-13,3.54,1,163,63,VT-44484-V
23059171,Rental unit in València · ★4.56 · 2 bedrooms · 3 beds · 1 bath,32815342,Marcos,QUATRE CARRERES,NA ROVELLA,39.45505,-0.36704,Entire home/apt,110,4,149,2023-08-27,2.21,3,216,36,
23061196,Rental unit in València · ★4.84 · 2 bedrooms · 3 beds · 2 baths,3437604,Vicent,EXTRAMURS,LA PETXINA,39.47467,-0.38926,Entire home/apt,98,5,19,2023-05-21,0.30,3,1,4,
22430429,Rental unit in València · ★4.90 · 2 bedrooms · 4 beds · 2 baths,45522348,Anelsa,L'EIXAMPLE,RUSSAFA,39.46231,-0.37506,Entire home/apt,159,2,286,2023-09-11,4.27,4,28,68,VT-38588-V
22467266,Loft in València · ★4.68 · Studio · 1 bed · 1 bath,137557003,Francisco,CIUTAT VELLA,EL CARME,39.47709,-0.37905,Entire home/apt,51,32,110,2023-08-31,1.58,18,179,8,
23071150,Loft in València · ★4.79 · 1 bedroom · 1 bed · 1 bath,171280871,Ivan & Mery,JESUS,L'HORT DE SENABRE,39.45447,-0.38989,Entire home/apt,63,3,163,2023-09-10,2.42,1,39,36,
22469911,Rental unit in València · ★4.82 · 2 bedrooms · 2 beds · 2 baths,1145189,Maria Mercedes,LA SAIDIA,TRINITAT,39.47821,-0.37108,Entire home/apt,225,2,70,2023-07-12,1.01,4,281,12,VT-33837
23071229,Rental unit in València · ★4.83 · 1 bedroom · 1 bed · 1 private bath,92123253,Germán,L'EIXAMPLE,EL PLA DEL REMEI,39.47018,-0.36642,Private room,57,3,105,2023-09-11,1.57,2,136,36,
23073988,Rental unit in València · ★4.84 · 2 bedrooms · 2 beds · 1 bath,171308638,Francisco,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.4664,-0.33189,Entire home/apt,130,1,105,2023-09-10,1.55,1,334,20,VT-43218-V
22475689,Rental unit in València · ★4.72 · 2 bedrooms · 3 beds · 1 bath,119673255,Carmen,LA SAIDIA,MORVEDRE,39.48345,-0.37688,Entire home/apt,70,2,211,2023-06-18,3.06,1,39,37,
23080931,Rental unit in València · ★4.75 · 3 bedrooms · 4 beds · 1.5 baths,171387362,Mar,L'EIXAMPLE,LA GRAN VIA,39.46506,-0.37302,Entire home/apt,154,1,92,2023-09-08,1.38,1,292,24,VT-44169-V
22481641,Rental unit in València · ★4.94 · 1 bedroom · 2 beds · 1 bath,26785098,Eduardo,L'EIXAMPLE,RUSSAFA,39.46278,-0.3734,Entire home/apt,98,2,69,2023-09-11,1.01,1,1,3,VT-41703-V
23082531,Rental unit in València · ★4.73 · 3 bedrooms · 3 beds · 2 baths,635155,Carlos,CIUTAT VELLA,EL MERCAT,39.47544,-0.38022,Entire home/apt,176,3,160,2023-09-11,2.37,1,53,39,VT-45702-V
23087396,Rental unit in València · ★4.76 · 1 bedroom · 1 bed · 1.5 baths,7218190,Andreu,CIUTAT VELLA,LA XEREA,39.47354,-0.37366,Private room,72,1,282,2023-08-23,4.17,4,214,55,VT-42457-V
22503469,Loft in València · ★4.95 · 3 bedrooms · 4 beds · 3 baths,56188208,Rafa,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46426,-0.33145,Entire home/apt,284,3,214,2023-09-12,3.14,6,305,37,VT-44123-V
22510141,Rental unit in València · ★5.0 · 1 bedroom · 1 bed · 2.5 shared baths,29610078,Silvia,RASCANYA,SANT LLORENS,39.48844,-0.36516,Private room,26,15,4,2023-08-21,0.08,19,135,2,
22521497,Rental unit in València · ★4.69 · 2 bedrooms · 2 beds · 1.5 baths,67184747,Carlos,CIUTAT VELLA,EL MERCAT,39.47489,-0.37887,Entire home/apt,126,3,172,2023-08-30,2.54,7,93,34,VT-44915-V
23091192,Rental unit in València · ★4.62 · 2 bedrooms · 2 beds · 1 bath,48794333,Olga,CAMINS AL GRAU,LA CREU DEL GRAU,39.46328,-0.3445,Entire home/apt,80,3,13,2022-11-01,0.20,1,0,1,
22525510,Rental unit in Valencia · ★4.56 · 2 bedrooms · 3 beds · 2 baths,27608070,Gabriel,EXTRAMURS,LA PETXINA,39.47262,-0.38642,Entire home/apt,100,2,35,2023-09-08,0.52,1,117,9,
22556683,Rental unit in València · ★4.78 · 2 bedrooms · 3 beds · 1 bath,165751194,Rosario Y Raúl,CIUTAT VELLA,LA XEREA,39.47265,-0.37203,Entire home/apt,87,6,140,2023-09-07,2.05,1,293,32,
23115856,Townhouse in València · 2 bedrooms · 3 beds · 1 bath,121988960,Vanessa,L'OLIVERETA,NOU MOLES,39.46998,-0.39775,Entire home/apt,96,2,0,,,1,105,0,
23116170,Rental unit in València · ★5.0 · 3 bedrooms · 4 beds · 1.5 baths,3690047,Mompo Gimeno Asociados Sl,L'EIXAMPLE,RUSSAFA,39.45881,-0.37777,Entire home/apt,98,32,10,2023-08-05,0.23,6,45,5,
22580162,Rental unit in Valencia · ★4.59 · 3 bedrooms · 5 beds · 2 baths,165995971,M. Jose,L'EIXAMPLE,RUSSAFA,39.46492,-0.37579,Entire home/apt,124,4,18,2023-08-31,0.28,1,44,5,VT/42073-V
23116787,Townhouse in València · ★4.35 · 2 bedrooms · 5 beds · 2 baths,129534099,Maria Pilar,POBLATS MARITIMS,LA MALVA-ROSA,39.47897,-0.32803,Entire home/apt,104,3,52,2023-09-05,0.78,6,218,24,AT-37826-V
23122046,Rental unit in València · ★4.58 · 1 bedroom · 1 bed · 1 bath,94473114,Jordi,EXTRAMURS,ARRANCAPINS,39.46724,-0.3831,Entire home/apt,130,3,129,2023-07-22,1.91,4,74,33,VT-40027-V
22582945,Rental unit in València · ★4.69 · 1 bedroom · 1 bed · 2 shared baths,33806568,Rafa Y Jorge,CIUTAT VELLA,EL MERCAT,39.473,-0.37945,Private room,46,1,405,2023-08-14,5.85,18,85,79,VT-45131-V
23139577,Rental unit in Valencia / València · ★4.35 · 3 bedrooms · 6 beds · 2 baths,83066665,SingularStays,L'EIXAMPLE,RUSSAFA,39.4622,-0.37652,Entire home/apt,1032,1,17,2023-07-08,0.37,166,281,11,AT-39375-V
22595109,Condo in València · ★4.50 · 2 bedrooms · 5 beds · 2 baths,166179909,Sonia,POBLATS DE L'OEST,BENIFERRI,39.49379,-0.40623,Entire home/apt,464,5,4,2019-08-29,0.06,1,81,0,
23157766,Rental unit in València · ★4.78 · 3 bedrooms · 3 beds · 1.5 baths,73745180,Kike,QUATRE CARRERES,MONT-OLIVET,39.46116,-0.3645,Entire home/apt,45,3,46,2022-01-09,0.68,2,0,0,VT-46184-V
22596700,Rental unit in València · ★4.79 · 1 bedroom · 1 bed · 1 bath,12044109,Invalencia Flats,CIUTAT VELLA,EL CARME,39.4779,-0.38059,Entire home/apt,140,2,73,2023-08-19,1.10,28,311,28,AT-42610-V
22609872,Rental unit in València · ★4.60 · 3 bedrooms · 3 beds · 1 bath,166377387,Cindy,CAMINS AL GRAU,ALBORS,39.46921,-0.35206,Entire home/apt,86,2,13,2023-07-22,0.19,1,3,2,
23213225,Rental unit in València · ★4.76 · 1 bedroom · 1 bed · 1 bath,72243778,Candela,L'EIXAMPLE,RUSSAFA,39.46246,-0.36941,Entire home/apt,85,4,17,2022-08-07,0.28,1,0,0,
23216880,Rental unit in València · ★4.71 · 3 bedrooms · 5 beds · 1 bath,106423765,Ramon,ALGIROS,L'ILLA PERDUDA,39.47148,-0.34166,Entire home/apt,85,10,78,2023-09-11,1.17,10,117,16,
22641832,Loft in València · ★4.76 · 1 bedroom · 1 bed · 1 bath,53845919,Esther,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46496,-0.33,Entire home/apt,58,2,185,2023-08-25,2.69,3,287,54,
22648295,Rental unit in València · ★4.61 · 2 bedrooms · 4 beds · 1 bath,140263819,Mar,L'EIXAMPLE,RUSSAFA,39.46112,-0.37185,Entire home/apt,113,2,51,2023-08-20,0.75,4,45,15,VT-44554-V
23230156,Rental unit in València · ★4.87 · 2 bedrooms · 2 beds · 1 bath,528123,Mario&Do,L'EIXAMPLE,LA GRAN VIA,39.46691,-0.36638,Entire home/apt,101,5,38,2023-08-14,0.79,1,97,12,
22665278,Rental unit in València · ★4.93 · 4 bedrooms · 5 beds · 3 baths,19776958,Nicolas,CIUTAT VELLA,EL PILAR,39.47516,-0.38104,Entire home/apt,214,4,29,2023-08-27,0.44,1,13,7,
